linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
202;;;endereco;Lojas Pernambucanas, Avenida Guilherme Campos, 500, Barão Geraldo, Campinas - SP, Brasil;Avenida Guilherme Campos 500 Campinas SP Brazil;Campinas;SP;;-22.84763;-47.0643;-22.84763;-47.0643;Barão Geraldo;;
203;;;endereco;Indigo, Avenida Lauro Sodré, 445, Botafogo, Rio de Janeiro - RJ, 22290-070, Brasil;Avenida Lauro Sodre 445 Rio de Janeiro RJ 22290070 Brazil;Rio de Janeiro;RJ;22290070;-22.95722;-43.17693;-22.95722;-43.17693;Botafogo;;
204;;;endereco;Avenida Rebouças, 3400, Centro, Sumaré - SP, 13172-255, Brasil;Avenida Reboucas 3400 Sumare SP 13172255 Brazil;Sumaré;SP;13172255;-22.82967;-47.26658;-22.82967;-47.26658;Centro;;
205;;;endereco;mahogany, Avenida Limeira, 722, Vila Rezende, Piracicaba - SP, 13414-018, Brasil;Avenida Limeira 722 Piracicaba SP 13414018 Brazil;Piracicaba;SP;13414018;-22.70401;-47.64976;-22.70401;-47.64976;Vila Rezende;;
206;;;endereco;Kopenhagen, Rua Pedro Botelho de Rezende, 901, Vivendas do Arvoredo, Londrina - PR, Brasil;Rua Pedro Botelho de Rezende 901 Londrina PR Brazil;Londrina;PR;;-23.342;-51.18536;-23.342;-51.18536;Vivendas do Arvoredo;;
207;;;endereco;Bonsai Sushi Jl Shopping, Avenida Toledo, Centro, Cascavel - PR, 85810-230, Brasil;Avenida Toledo Centro Cascavel PR 85810230 Brazil;Cascavel;PR;85810230;-24.95051;-53.4774;-24.95051;-53.4774;;ALTO;sem numero de porta
208;;;endereco;Xangai, Rua Senador Felipe Schmidt, 235, Centro, Joinville - SC, 89201-440, Brasil;Rua Senador Felipe Schmidt 235 Joinville SC 89201440 Brazil;Joinville;SC;89201440;-26.30435;-48.84913;-26.30435;-48.84913;Centro;;
209;;;endereco;Rua Gustavo Maciel, 5-2, Centro, Bauru - SP, 17010-040, Brasil;Rua Gustavo Maciel 5 2 Centro Bauru SP 17010040 Brazil;Bauru;SP;17010040;-22.31866;-49.07207;-22.31866;-49.07207;;ALTO;sem numero de porta
210;;;endereco;Live, Avenida Cândido de Abreu, 127, Centro Cívico, Curitiba - PR, 80530-000, Brasil;Avenida Candido de Abreu 127 Curitiba PR 80530000 Brazil;Curitiba;PR;80530000;-25.42353;-49.27041;-25.42353;-49.27041;Centro Cívico;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
211;;;endereco;SUBWAY, Rua Augusta, Consolação, São Paulo - SP, 01304-001, Brasil;Rua Augusta Consolacao Sao Paulo SP 01304001 Brazil;São Paulo;SP;01304001;-23.55759;-46.65924;-23.55759;-46.65924;;ALTO;sem numero de porta
212;;;endereco;Clínica Dentão, Avenida Doutor Afonso Vergueiro, Centro, Sorocaba - SP, 18035-370, Brasil;Avenida Doutor Afonso Vergueiro Centro Sorocaba SP 18035370 Brazil;Sorocaba;SP;18035370;-23.49613;-47.45961;-23.49613;-47.45961;;ALTO;sem numero de porta
213;;;endereco;Avenida Ayrton Senna da Silva, 425, Guanabara, Londrina - PR, 86050-460, Brasil;Avenida Ayrton Senna da Silva 425 Londrina PR 86050460 Brazil;Londrina;PR;86050460;-23.32917;-51.17737;-23.32917;-51.17737;Guanabara;;
214;;;endereco;Estrada Cama Patente, 1000, Alvarenga, São Bernardo do Campo - SP, 09842-100, Brasil;Estrada Cama Patente 1000 Sao Bernardo do Campo SP 09842100 Brazil;São Bernardo do Campo;SP;09842100;-23.746;-46.59545;-23.746;-46.59545;Alvarenga;ALTO;endereco de rodovia (57-67% falharam)
215;;;endereco;Avenida das Araucárias, 1835, Águas Claras - DF, 71940-720, Brasil;Avenida das Araucarias 1835 Aguas Claras DF 71940720 Brazil;Águas Claras;DF;71940720;-15.84167;-48.0236;-15.84167;-48.0236;;;
216;;;endereco;BR-282, Roçado, São José - SC, 86905-000, Brasil;BR 282 Rocado Sao Jose SC 86905000 Brazil;São José;SC;86905000;-27.59857;-48.6213;-27.59857;-48.6213;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
217;;;endereco;Clínica de Uroginecolo, Avenida Charles Schnneider, Barranco, Taubaté - SP, 12040-000, Brasil;Avenida Charles Schnneider Barranco Taubate SP 12040000 Brazil;Taubaté;SP;12040000;-23.025;-45.58153;-23.025;-45.58153;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
218;;;endereco;Rua Espinheiro, 582, Guaratiba, Rio de Janeiro - RJ, 21670-080, Brasil;Rua Espinheiro 582 Rio de Janeiro RJ 21670080 Brazil;Rio de Janeiro;RJ;21670080;-23.01;-43.54187;-23.01;-43.54187;Guaratiba;;
219;;;endereco;Olha O Churros, Cidade Satélite Íris, Campinas - SP, Brasil;Olha O Churros Cidade Satelite Iris Campinas SP Brazil;Campinas;SP;;-22.92491;-47.12697;-22.92491;-47.12697;;ALTO;sem numero de porta
220;;;endereco;World Tennis, Alameda Filtros Mann, 670, Indaiatuba - SP, 13344-580, Brasil;Alameda Filtros Mann 670 Indaiatuba SP 13344580 Brazil;Indaiatuba;SP;13344580;-23.11732;-47.21986;-23.11732;-47.21986;;;
221;;;endereco;Rodovia do Café Governador Ney Braga, Balsa Nova - PR, 83650-000, Brasil;Rodovia do Cafe Governador Ney Braga Balsa Nova PR 83650000 Brazil;Balsa Nova;PR;83650000;-25.46764;-49.67793;-25.46764;-49.67793;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
222;;;endereco;Tip Top Mega, Avenida das Américas, 7777, Barra da Tijuca, Rio de Janeiro - RJ, 22793-081, Brasil;Avenida das Americas 7777 Rio de Janeiro RJ 22793081 Brazil;Rio de Janeiro;RJ;22793081;-23.00146;-43.38496;-23.00146;-43.38496;Barra da Tijuca;;
223;;;endereco;Tvz, Avenida Ramiro Colleoni, Vila Gilda, Santo André - SP, 09040-160, Brasil;Avenida Ramiro Colleoni Vila Gilda Santo Andre SP 09040160 Brazil;Santo André;SP;09040160;-23.66812;-46.5333;-23.66812;-46.5333;;ALTO;sem numero de porta
224;;;endereco;Rua Treze de Maio, 1947, Bela Vista, São Paulo - SP, 04849-529, Brasil;Rua Treze de Maio 1947 Sao Paulo SP 04849529 Brazil;São Paulo;SP;04849529;-23.57044;-46.64377;-23.57044;-46.64377;Bela Vista;;
